
2024/09/04 (21:52:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/04 (21:52:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/04 (21:52:55) | ===> btop++ v.1.3.2
2024/09/04 (21:52:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/04 (21:52:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/05 (15:29:03) | ===> btop++ v.1.3.2
2024/09/05 (15:29:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/05 (15:29:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/06 (22:11:24) | ===> btop++ v.1.3.2
2024/09/06 (22:11:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/06 (22:11:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/07 (21:03:01) | ===> btop++ v.1.3.2
2024/09/07 (21:03:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/07 (21:03:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/17 (20:09:41) | ===> btop++ v.1.3.2
2024/09/17 (20:09:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/17 (20:09:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/24 (16:18:52) | ===> btop++ v.1.4.0
2024/09/24 (16:18:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/24 (16:18:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/27 (23:40:00) | ===> btop++ v.1.4.0
2024/09/27 (23:40:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/27 (23:40:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/12 (00:57:47) | ===> btop++ v.1.4.0
2024/10/12 (00:57:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/12 (00:57:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/13 (01:01:29) | ===> btop++ v.1.4.0
2024/10/13 (01:01:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/13 (01:01:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/19 (23:13:07) | ===> btop++ v.1.4.0
2024/10/19 (23:13:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (23:13:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (14:59:51) | ===> btop++ v.1.4.0
2024/10/21 (14:59:51) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (14:59:53) | ===> btop++ v.1.4.0
2024/10/21 (14:59:53) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (14:59:54) | ===> btop++ v.1.4.0
2024/10/21 (14:59:54) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (14:59:56) | ===> btop++ v.1.4.0
2024/10/21 (14:59:56) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (14:59:57) | ===> btop++ v.1.4.0
2024/10/21 (14:59:57) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (14:59:58) | ===> btop++ v.1.4.0
2024/10/21 (14:59:58) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (14:59:58) | ===> btop++ v.1.4.0
2024/10/21 (14:59:58) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (15:02:47) | ===> btop++ v.1.4.0
2024/10/21 (15:02:47) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (15:02:49) | ===> btop++ v.1.4.0
2024/10/21 (15:02:49) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (15:02:50) | ===> btop++ v.1.4.0
2024/10/21 (15:02:50) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (15:02:51) | ===> btop++ v.1.4.0
2024/10/21 (15:02:51) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (15:02:52) | ===> btop++ v.1.4.0
2024/10/21 (15:02:52) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (15:02:52) | ===> btop++ v.1.4.0
2024/10/21 (15:02:52) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (15:02:53) | ===> btop++ v.1.4.0
2024/10/21 (15:02:53) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (15:02:53) | ===> btop++ v.1.4.0
2024/10/21 (15:02:53) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (15:02:53) | ===> btop++ v.1.4.0
2024/10/21 (15:02:53) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (15:02:53) | ===> btop++ v.1.4.0
2024/10/21 (15:02:53) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (15:04:02) | ===> btop++ v.1.4.0
2024/10/21 (15:04:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (15:04:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (15:04:34) | ===> btop++ v.1.4.0
2024/10/21 (15:04:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (15:04:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (15:23:06) | ===> btop++ v.1.4.0
2024/10/21 (15:23:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (15:23:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (15:36:46) | ===> btop++ v.1.4.0
2024/10/21 (15:36:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (15:36:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (15:39:42) | ===> btop++ v.1.4.0
2024/10/21 (15:39:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (15:39:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (15:45:34) | ===> btop++ v.1.4.0
2024/10/21 (15:45:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (15:45:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (15:45:48) | ===> btop++ v.1.4.0
2024/10/21 (15:45:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (15:45:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (15:53:14) | ===> btop++ v.1.4.0
2024/10/21 (15:53:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (15:53:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (15:59:39) | ===> btop++ v.1.4.0
2024/10/21 (15:59:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (15:59:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (16:03:11) | ===> btop++ v.1.4.0
2024/10/21 (16:03:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (16:03:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (16:04:16) | ===> btop++ v.1.4.0
2024/10/21 (16:04:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (16:04:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (16:04:30) | ===> btop++ v.1.4.0
2024/10/21 (16:04:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (16:04:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (16:04:58) | ===> btop++ v.1.4.0
2024/10/21 (16:04:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (16:04:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (16:05:25) | ===> btop++ v.1.4.0
2024/10/21 (16:05:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (16:05:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (16:05:36) | ===> btop++ v.1.4.0
2024/10/21 (16:05:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (16:05:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (16:05:41) | ===> btop++ v.1.4.0
2024/10/21 (16:05:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
